Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
187,Al Smith,1615,345,18:07 - s,422,142 reps - s,183,155 reps - s,150,236 reps - s,515,11:36 - s
188,Jay Howard,1640,108,16:04 - s,151,174 reps - s,891,81 reps - s,336,213 reps - s,154,9:11 - s
189,Jason Alexiou,1641,19,13:55 - s,210,169 reps - s,1389,0,11,275 reps - s,12,7:12 - s
190,Jeff Mitchell,1643,491,19:00 - s,391,145 reps - s,289,135 reps - s,141,238 reps - s,331,10:24 - s
191,Trey Varnadoe,1649,12,13:22 - s,162,172 reps - s,39,22:32 - s,1350,0,86,8:33 - s
192,Garlan Wilkins,1655,52,14:58 - s,193,170 reps - s,1,15:27 - s,151,236 reps - s,1258,0
193,Walter Leicher,1657,158,16:39 - s,177,170 reps - s,478,107 reps - s,413,208 reps - s,431,11:06 - s
194,Jacob Hailey,1659,295,17:47 - s,129,177 reps - s,409,119 reps - s,727,192 reps - s,99,8:40 - s
195,Carlos Cubenas,1663,250,17:28 - s,1097,102 reps - s,3,16:00 - s,103,243 reps - s,210,9:34 - s
196,Tad Derrick,1669,916,214 reps - s,196,170 reps - s,227,143 reps - s,86,246 reps - s,244,9:45 - s
197,Tim Garner,1679,637,19:40 - s,355,146 reps - s,24,20:37 - s,356,211 reps - s,307,10:14 - s
198,Doug Garland,1686,160,16:40 - s,56,199 reps - s,21,20:01 - s,1350,0,99,8:40 - s
199,Joey Jenne,1687,699,19:55 - s,408,143 reps - s,70,203 reps - s,216,225 reps - s,294,10:08 - s
200,Al Flora,1703,482,18:57 - s,409,143 reps - s,230,143 reps - s,115,241 reps - s,467,11:18 - s
201,Ronald Lorenzana,1709,317,17:57 - s,308,155 reps - s,968,69 reps - s,84,246 reps - s,32,7:50 - s
202,Ron Pike,1733,556,19:20 - s,356,146 reps - s,185,154 reps - s,124,240 reps - s,512,11:35 - s
203,Shawn Baker,1748,122,16:11 - s,266,162 reps - s,768,93 reps - s,91,245 reps - s,501,11:30 - s
204,Vitor Da cunha,1751,211,17:07 - s,487,141 reps - s,234,142 reps - s,263,220 reps - s,556,11:56 - s
205,Travis Brightbill,1754,286,17:45 - s,150,174 reps - s,133,170 reps - s,652,195 reps - s,533,11:46 - s
206,David Riemelt,1771,149,16:32 - s,248,162 reps - s,176,155 reps - s,945,181 reps - s,253,9:48 - s
207,Ralph Ramirez-Maglio,1772,648,19:42 - s,523,138 reps - s,62,214 reps - s,186,231 reps - s,353,10:34 - s
208,Patrick Hennessey Jr,1783,540,19:16 - s,206,169 reps - s,344,130 reps - s,461,205 reps - s,232,9:40 - s
209,Todd Godwin,1784,441,18:44 - s,365,146 reps - s,207,154 reps - s,198,229 reps - s,573,12:03 - s
210,Jorge Clark,1787,663,19:47 - s,461,141 reps - s,145,167 reps - s,215,225 reps - s,303,10:13 - s
211,Reden Dionisio,1804,389,18:23 - s,360,146 reps - s,402,126 reps - s,566,200 reps - s,87,8:34 - s
212,Jason Rowe,1814,179,16:49 - s,581,136 reps - s,345,130 reps - s,384,210 reps - s,325,10:22 - s
213,Mikol Sanchez,1825,79,15:40 - s,69,194 reps - s,1389,0,245,220 reps - s,43,7:58 - s
214,Andrew Smith,1827,274,17:41 - s,294,156 reps - s,526,106 reps - s,346,212 reps - s,387,10:47 - s
215,Cliff Gabbard,1828,1094,205 reps - s,167,172 reps - s,118,178 reps - s,192,230 reps - s,257,9:49 - s
216,Jack Fahey,1835,563,19:22 - s,153,173 reps - s,602,104 reps - s,312,215 reps - s,205,9:33 - s
217,Ivan Brkovic,1840,129,16:18 - s,319,153 reps - s,363,130 reps - s,465,205 reps - s,564,11:59 - s
218,Rob Goyer,1852,491,19:00 - s,415,143 reps - s,359,130 reps - s,193,230 reps - s,394,10:51 - s
219,David Davis,1853,370,18:14 - s,295,156 reps - s,597,104 reps - s,375,210 reps - s,216,9:35 - s
220,Juan Leon,1864,660,19:46 - s,289,158 reps - s,679,96 reps - s,184,232 reps - s,52,8:14 - s
