Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
171,Nick Chiappetta,1150,117,16:40 - s,766,0,12,22:12 - s,147,214 reps - s,108,9:31 - s
171,Damon Usborne,1150,279,18:46 - s,288,125 reps - s,390,83 reps - s,75,234 reps - s,118,9:40 - s
171,Jean St-Amand,1150,119,16:41 - s,185,141 reps - s,334,94 reps - s,314,198 reps - s,198,10:39 - s
174,Sebastien Hebert,1157,58,15:28 - s,180,141 reps - s,327,94 reps - s,433,187 reps - s,159,10:11 - s
175,Peter Eriksson,1165,244,18:23 - s,157,145 reps - s,437,71 reps - s,192,208 reps - s,135,9:55 - s
176,Otto Boril,1189,90,16:18 - s,303,123 reps - s,494,66 reps - s,78,234 reps - s,224,10:54 - s
177,Randy Bauman,1191,226,18:09 - s,173,141 reps - s,403,81 reps - s,149,214 reps - s,240,11:10 - s
178,Kevin Buckley,1198,292,18:55 - s,114,162 reps - s,286,103 reps - s,194,208 reps - s,312,12:06 - s
179,Spencer Wright,1204,203,17:52 - s,71,172 reps - s,398,82 reps - s,281,201 reps - s,251,11:16 - s
180,Cam Johnson,1206,249,18:25 - s,396,115 reps - s,222,107 reps - s,159,213 reps - s,180,10:26 - s
181,Dyno Dufour,1210,223,18:05 - s,346,119 reps - s,288,102 reps - s,155,213 reps - s,198,10:39 - s
182,Chris McNair,1213,233,18:15 - s,115,162 reps - s,396,82 reps - s,197,208 reps - s,272,11:27 - s
183,Nicolas Gamache,1219,77,15:58 - s,197,138 reps - s,345,93 reps - s,44,245 reps - s,556,17:04 - s
184,Shaun J Smith,1223,383,19:50 - s,326,122 reps - s,46,178 reps - s,288,201 reps - s,180,10:26 - s
185,Dan McAfee,1228,205,17:54 - s,221,136 reps - s,310,95 reps - s,180,210 reps - s,312,12:06 - s
186,Flix Chalifoux,1237,556,210 reps - s,69,172 reps - s,251,105 reps - s,134,217 reps - s,227,11:00 - s
187,Marc Tortola,1242,383,19:50 - s,192,139 reps - s,354,93 reps - s,145,215 reps - s,168,10:20 - s
188,Matthew Dobry,1247,455,219 reps - s,240,133 reps - s,145,130 reps - s,227,206 reps - s,180,10:26 - s
189,Brad Ferguson,1248,17,14:10 - s,550,90 reps - s,202,117 reps - s,328,196 reps - s,151,10:03 - s
189,Phil McAuley,1248,406,19:59 - s,265,128 reps - s,80,143 reps - s,306,200 reps - s,191,10:34 - s
189,Marc Bourbonnais,1248,406,19:59 - s,207,136 reps - s,161,129 reps - s,178,210 reps - s,296,11:47 - s
192,Erwan L'hour,1255,186,17:35 - s,673,78 reps - s,26,203 reps - s,252,204 reps - s,118,9:40 - s
193,Nicholas Snow,1261,75,15:57 - s,337,120 reps - s,376,90 reps - s,308,199 reps - s,165,10:18 - s
194,Juan Barrientos,1276,174,17:20 - s,486,104 reps - s,156,129 reps - s,346,195 reps - s,114,9:37 - s
195,Joseph Giannola,1283,461,219 reps - s,196,138 reps - s,81,143 reps - s,326,197 reps - s,219,10:51 - s
196,Matthew Gillis,1287,246,18:24 - s,187,140 reps - s,259,105 reps - s,208,207 reps - s,387,13:08 - s
197,Pierre Rodrigue,1289,197,17:46 - s,285,125 reps - s,488,67 reps - s,151,214 reps - s,168,10:20 - s
198,Michel Dumont,1296,120,16:42 - s,132,153 reps - s,434,71 reps - s,261,203 reps - s,349,12:39 - s
